Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AMC,2018-02-01,128.0,159.0,126.5,150.0,147.010925,4000350
AMC,2018-03-01,159.5,160.800003,134.5,140.5,137.700211,3482360
AMC,2018-04-01,139.5,179.5,139.5,174.5,171.242935,3346240
AMC,2018-05-01,174.0,176.0,143.5,148.0,145.237549,3629970
AMC,2018-06-01,148.5,175.5,142.5,159.0,156.032227,3040710
AMC,2018-07-01,158.5,178.5,152.0,163.0,160.176208,3206210
AMC,2018-08-01,167.0,195.5,155.0,190.5,187.199844,4783470
AMC,2018-09-01,190.5,214.5,186.699997,205.0,201.448639,4101890
AMC,2018-10-01,205.399994,206.0,174.199997,192.600006,190.84082,4179610
AMC,2018-11-01,192.600006,198.800003,130.399994,136.5,135.253235,4484630
AMC,2018-12-01,138.5,154.399994,116.599998,122.800003,121.678368,2685030
AMC,2019-01-01,120.099998,147.5,119.0,146.5,145.360611,2103930
AMC,2019-02-01,145.199997,145.899994,128.199997,140.300003,139.208832,2658720
AMC,2019-03-01,156.600006,165.0,141.5,148.5,147.345032,4044160
AMC,2019-04-01,149.5,170.699997,145.300003,151.600006,150.624481,3304970
AMC,2019-05-01,151.5,153.0,117.099998,119.800003,119.029106,4136480
AMC,2019-06-01,119.400002,120.800003,92.800003,93.300003,92.699638,4817910
AMC,2019-07-01,98.5,119.800003,87.300003,118.300003,117.751114,6801140
AMC,2019-08-01,117.0,124.900002,104.599998,111.099998,110.584511,5908840
AMC,2019-09-01,111.900002,121.300003,104.400002,107.0,106.50354,3771660
AMC,2019-10-01,107.5,109.5,87.800003,93.699997,93.420692,5219300
AMC,2019-11-01,94.5,103.5,74.699997,81.800003,81.556175,7752300
AMC,2019-12-01,82.400002,87.800003,71.5,72.400002,72.355858,7275420
AMC,2020-01-01,73.0,76.0,62.5,65.199997,65.16024,6608580
AMC,2020-02-01,65.0,77.800003,51.200001,62.599998,62.561829,5801730
AMC,2020-03-01,63.099998,63.200001,19.5,31.6,31.580732,12318290
AMC,2020-04-01,30.0,55.299999,19.5,49.200001,49.200001,23082170
AMC,2020-05-01,46.200001,64.099998,38.099998,51.299999,51.299999,22659740
AMC,2020-06-01,50.299999,73.5,37.5,42.900002,42.900002,17007920
AMC,2020-07-01,42.599998,48.200001,38.099998,40.400002,40.400002,8177990
AMC,2020-08-01,40.5,71.0,38.599998,58.799999,58.799999,19674440
AMC,2020-09-01,57.900002,77.099998,43.599998,47.099998,47.099998,14228780
AMC,2020-10-01,47.799999,48.0,22.799999,23.6,23.6,25042970
AMC,2020-11-01,23.0,50.0,21.1,42.700001,42.700001,56334630
AMC,2020-12-01,44.299999,44.299999,20.799999,21.200001,21.200001,61387880
AMC,2021-01-01,22.0,203.600006,19.1,132.600006,132.600006,461926050
AMC,2021-02-01,170.0,172.5,52.599998,80.099998,80.099998,363385340
AMC,2021-03-01,88.599998,145.399994,75.0,102.099998,102.099998,247359070
AMC,2021-04-01,102.300003,122.199997,83.099998,100.300003,100.300003,93774920
AMC,2021-05-01,101.099998,367.200012,89.300003,261.200012,261.200012,342906800
AMC,2021-06-01,318.899994,726.200012,285.299988,566.799988,566.799988,552009010
AMC,2021-07-01,568.599976,577.099976,311.5,370.200012,370.200012,207826270
AMC,2021-08-01,375.799988,483.0,289.100006,471.299988,471.299988,202968870
AMC,2021-09-01,471.600006,527.900024,337.399994,380.600006,380.600006,140000590
AMC,2021-10-01,394.100006,444.399994,345.299988,353.700012,353.700012,81216040
AMC,2021-11-01,356.5,459.5,327.5,339.399994,339.399994,73126990
AMC,2021-12-01,347.100006,349.399994,208.0,272.0,272.0,119254890
